nu,x,y,z
10280.0,0.0004414,0.0,0.0
10285.0,0.0004541,0.0,0.0
10290.0,0.0004723,0.0,0.0
10295.0,0.0004887,0.0,0.0
10300.0,0.0005058,0.0,0.0
10305.0,0.0005226,0.0,0.0
10310.0,0.0005501,0.0,0.0
10315.0,0.0005836,0.0,0.0
10320.0,0.0006059,0.0,0.0
10325.0,0.0006238,0.0,0.0
10330.0,0.0006469,0.0,0.0
10335.0,0.0006711,0.0,0.0
10340.0,0.0007046,0.0,0.0
10345.0,0.0007448,0.0,0.0
10350.0,0.0007794,0.0,0.0
10355.0,0.0008054,0.0,0.0
10360.0,0.0008222,0.0,0.0
10365.0,0.0008371,0.0,0.0
10370.0,0.0008538,0.0,0.0
10375.0,0.0008612,0.0,0.0
10380.0,0.0008698,0.0,0.0
10385.0,0.0008914,0.0,0.0
10390.0,0.0009122,0.0,0.0
10395.0,0.0009305,0.0,0.0
10400.0,0.0009562,0.0,0.0
10405.0,0.0009844,0.0,0.0
10410.0,0.001018,0.0,0.0
10415.0,0.001053,0.0,0.0
10420.0,0.001091,0.0,0.0
10425.0,0.001136,0.0,0.0
10430.0,0.001187,0.0,0.0
10435.0,0.001233,0.0,0.0
10440.0,0.001289,0.0,0.0
10445.0,0.001336,0.0,0.0
10450.0,0.001372,0.0,0.0
10455.0,0.001405,0.0,0.0
10460.0,0.001435,0.0,0.0
10465.0,0.00147,0.0,0.0
10470.0,0.001504,0.0,0.0
10475.0,0.001517,0.0,0.0
10480.0,0.001511,0.0,0.0
10485.0,0.001541,0.0,0.0
10490.0,0.001619,0.0,0.0
10495.0,0.001728,0.0,0.0
10500.0,0.001848,0.0,0.0
10505.0,0.001955,0.0,0.0
10510.0,0.002044,0.0,0.0
10515.0,0.002128,0.0,0.0
10520.0,0.002254,0.0,0.0
10525.0,0.002396,0.0,0.0
10530.0,0.002527,0.0,0.0
10535.0,0.00266,0.0,0.0
10540.0,0.002832,0.0,0.0
10545.0,0.00301,0.0,0.0
10550.0,0.003182,0.0,0.0
10555.0,0.00334,0.0,0.0
10560.0,0.003504,0.0,0.0
10565.0,0.003673,0.0,0.0
10570.0,0.003822,0.0,0.0
10575.0,0.003923,0.0,0.0
10580.0,0.003997,0.0,0.0
10585.0,0.004042,0.0,0.0
10590.0,0.004061,0.0,0.0
10595.0,0.004035,0.0,0.0
10600.0,0.003979,0.0,0.0
10605.0,0.003901,0.0,0.0
10610.0,0.003785,0.0,0.0
10615.0,0.003642,0.0,0.0
10620.0,0.003494,0.0,0.0
10625.0,0.003339,0.0,0.0
10630.0,0.003173,0.0,0.0
10635.0,0.003004,0.0,0.0
10640.0,0.002849,0.0,0.0
10645.0,0.002703,0.0,0.0
10650.0,0.002556,0.0,0.0
10655.0,0.002432,0.0,0.0
10660.0,0.00231,0.0,0.0
10665.0,0.002191,0.0,0.0
10670.0,0.002076,0.0,0.0
10675.0,0.001969,0.0,0.0
10680.0,0.001883,0.0,0.0
10685.0,0.001818,0.0,0.0
10690.0,0.001753,0.0,0.0
10695.0,0.001705,0.0,0.0
10700.0,0.001672,0.0,0.0
10705.0,0.001643,0.0,0.0
10710.0,0.001617,0.0,0.0
10715.0,0.001616,0.0,0.0
10720.0,0.001629,0.0,0.0
10725.0,0.001648,0.0,0.0
10730.0,0.001662,0.0,0.0
10735.0,0.001667,0.0,0.0
10740.0,0.001669,0.0,0.0
10745.0,0.001664,0.0,0.0
10750.0,0.001655,0.0,0.0
10755.0,0.001645,0.0,0.0
10760.0,0.001643,0.0,0.0
10765.0,0.001642,0.0,0.0
10770.0,0.001632,0.0,0.0
10775.0,0.001629,0.0,0.0
10780.0,0.001632,0.0,0.0
10785.0,0.001638,0.0,0.0
10790.0,0.001644,0.0,0.0
10795.0,0.001647,0.0,0.0
10800.0,0.001646,0.0,0.0
10805.0,0.001642,0.0,0.0
10810.0,0.001638,0.0,0.0
10815.0,0.001632,0.0,0.0
10820.0,0.001628,0.0,0.0
10825.0,0.001626,0.0,0.0
10830.0,0.001628,0.0,0.0
10835.0,0.001635,0.0,0.0
10840.0,0.001642,0.0,0.0
10845.0,0.001649,0.0,0.0
10850.0,0.001653,0.0,0.0
10855.0,0.001656,0.0,0.0
10860.0,0.00166,0.0,0.0
10865.0,0.001669,0.0,0.0
10870.0,0.001685,0.0,0.0
10875.0,0.001705,0.0,0.0
10880.0,0.00173,0.0,0.0
10885.0,0.001755,0.0,0.0
10890.0,0.001779,0.0,0.0
10895.0,0.001804,0.0,0.0
10900.0,0.00183,0.0,0.0
10905.0,0.001861,0.0,0.0
10910.0,0.001896,0.0,0.0
10915.0,0.001931,0.0,0.0
10920.0,0.001962,0.0,0.0
10925.0,0.001991,0.0,0.0
10930.0,0.002024,0.0,0.0
10935.0,0.002068,0.0,0.0
10940.0,0.002131,0.0,0.0
10945.0,0.002207,0.0,0.0
10950.0,0.002285,0.0,0.0
10955.0,0.002357,0.0,0.0
10960.0,0.002423,0.0,0.0
10965.0,0.00249,0.0,0.0
10970.0,0.002564,0.0,0.0
10975.0,0.002649,0.0,0.0
10980.0,0.002743,0.0,0.0
10985.0,0.002842,0.0,0.0
10990.0,0.002943,0.0,0.0
